Body,Call,Number,Procedure,Block,Number in block,Title
es_age_1166,2008,1,1,1,1,"Evolución del Estado liberal. Estado social y democrático. Modelos, políticas y problemas actuales del Estado del bienestar."
es_age_1166,2008,1,1,2,2,Presidencialismo y parlamentarismo. Modelos y transformación de los sistemas de gobierno en el mundo actual.
es_age_1166,2008,1,1,3,3,"Estado, nación y territorio. Estado unitario y estados compuestos. Nacionalismo y Estado. Reforma, revolución y contrarrevolución en la España contemporánea. Etapas históricas y dinámica política."
es_age_1166,2008,1,1,4,4,La transición española a la democracia. El consenso constitucional de 1978. La consolidación del sistema democrático.
es_age_1166,2008,1,1,5,5,"La Constitución española de 1978 (I). Los principios constitucionales. Los derechos fundamentales y sus garantías. La Corona. Cortes Generales. Congreso de los Diputados y Senado. El Gobierno. Los Órganos constitucionales de control del Gobierno: Tribunal de Cuentas, Defensor del Pueblo. La función consultiva: El Consejo de Estado."
es_age_1166,2008,1,1,6,6,"La constitución española de 1978 (II). El Poder Judicial. La justicia en la Constitución. El Consejo General del Poder Judicial. El Ministerio Fiscal. El Tribunal Constitucional. Naturaleza, organización y atribuciones."
es_age_1166,2008,1,1,7,7,La constitución española de 1978 (III). Las Comunidades Autónomas: organización política y administrativa. La Administración Local: regulación constitucional y entidades que la integran.
es_age_1166,2008,1,1,8,8,La constitución española de 1978 (IV). La administración pública: Principios constitucionales. La administración general del Estado. Sus órganos centrales
es_age_1166,2008,1,1,9,9,"La constitución española de 1978 (V). La Constitución española y políticas de Igualdad de Género. Incorporación de la mujer a la vida política y social. Repercusiones económicas, legales, sociales y culturales."
es_age_1166,2008,1,1,10,10,"De la Comunidad Económica Europea a la Unión Europea. El Tratado de la Unión Europea. El Tratado por el que se establece una Constitución para Europa. Las Instituciones de la Unión Europea: El Consejo Europeo, el Consejo de Ministros y la Comisión."
es_age_1166,2008,1,1,11,11,"Las Instituciones de la Unión Europea: El Parlamento, el Tribunal de Justicia y el Tribunal de Cuentas. El derecho comunitario. Fuentes. Relación entre el Derecho comunitario y el ordenamiento jurídico de los Estados miembros. La participación del Estados miembros en el proceso decisorio."
es_age_1166,2008,1,2,1,12,La función gerencial en las administraciones públicas. Particularidades de la gestión pública.
es_age_1166,2008,1,2,2,13,Los procesos de modernización de las administraciones públicas. La calidad en los servicios públicos.
es_age_1166,2008,1,2,3,14,La crisis de la burocracia como sistema de gestión. La adecuación de técnicas del sector privado. El »management» público.
es_age_1166,2008,1,2,4,15,El modelo económico español en el marco de la economía mundial. El crecimiento sostenible y las políticas medioambientales. Líneas generales de la política económica actual.
es_age_1166,2008,1,2,5,16,"El sector primario. El sector industrial. El sector servicios. Los subsectores de comercio, transportes y comunicaciones. El turismo."
es_age_1166,2008,1,2,6,17,"La estructura social de la España actual. Cambios y tendencias demográficas. Estratificación y movilidad social. El cambio cultural en la España de los últimos años. El mercado de trabajo en España. La evolución del empleo. Población activa, ocupación y paro."
es_age_1166,2008,1,2,7,18,Las tecnologías de la información y las comunicaciones en los procesos de globalización. La era del Acceso. Las estrategias ante el cambio hacia la e-Administración.
es_age_1166,2008,1,2,8,19,La gestión del conocimiento y el capital intelectual en la organizaciones.
es_age_1166,2008,1,2,9,20,"La cultura de la e-Administración. La gobernanza. La ética pública. Políticas públicas y políticas sociales, políticas de igualdad y contra la violencia de género."
es_age_1166,2008,2,1,1,21,Definición y estructura de los Sistemas de Información.
es_age_1166,2008,2,1,2,22,La información en las organizaciones. Las organizaciones basadas en la información. La Administración como caso específico de este tipo de organización.
es_age_1166,2008,2,1,3,23,"La comunicación en las organizaciones complejas. Captación, flujo y aprovechamiento de la información. Consecuencias del funcionamiento deficiente de los Sistemas de Información."
es_age_1166,2008,2,1,4,24,"Estrategia, objetivos y funciones del directivo de Sistemas y Tecnologías de la Información en la Administración."
es_age_1166,2008,2,1,5,25,Herramientas de planificación y control de gestión de la función del directivo de Sistemas y Tecnologías de la Información en la Administración.
es_age_1166,2008,2,1,6,26,Organización y funcionamiento de un Centro de Sistemas de Información I. Funciones de Desarrollo y Mantenimiento.
es_age_1166,2008,2,1,7,27,"Organización y funcionamiento de un Centro de Sistemas de Información II. Funciones de Sistemas, Bases Datos y Comunicaciones."
es_age_1166,2008,2,1,8,28,"Organización y funcionamiento de un Centro de Sistemas de Información III. Funciones de Infocentro, Relaciones con Usuarios."
es_age_1166,2008,2,1,9,29,Dirección de proyectos. Planificación de recursos técnicos y humanos.
es_age_1166,2008,2,1,10,30,Dirección y gestión de proyectos de tecnologías de la información.
es_age_1166,2008,2,1,11,31,La legislación de protección de datos de carácter personal. La directiva 95/46/CE. La Ley Orgánica de Protección de Datos de Carácter Personal (LOPD). RD 994/1999 Reglamento de Medidas de Seguridad de los Ficheros Automatizados que contengan Datos de carácter personal. La Agencia Española de Protección de Datos.
es_age_1166,2008,2,1,12,32,La legislación en materia de sociedad de la información y administración electrónica en España y Europa.
es_age_1166,2008,2,1,13,33,"Auditoría Informática I. Concepto y contenidos. Administración, planeamiento, organización, infraestructura técnica y prácticas operativas."
es_age_1166,2008,2,1,14,34,"Auditoría Informática II. Protección de activos de información, recuperación de desastres y continuidad del negocio."
es_age_1166,2008,2,1,15,35,"Auditoría Informática III. Desarrollo, adquisición, implementación y mantenimiento de sistemas. Evaluación de procesos y gestión de riesgos."
es_age_1166,2008,2,1,16,36,La teoría de la decisión multicriterio como modelo de referencia metodológico para la selección de bienes sencillos. El método de ponderación lineal.
es_age_1166,2008,2,1,17,37,Alternativas básicas de decisión en el campo del equipamiento hardware y software.
es_age_1166,2008,2,1,18,38,La protección jurídica de los programas de ordenador.
es_age_1166,2008,2,1,19,39,Los medios de comprobación de la legalidad y control del software.
es_age_1166,2008,2,1,20,40,La rentabilidad de las inversiones en los proyectos de Tecnologías de la Información.
es_age_1166,2008,2,1,21,41,Accesibilidad y usabilidad. W3C.
es_age_1166,2008,2,1,22,42,Interoperabilidad y sistemas abiertos. Política comunitaria al respecto.
es_age_1166,2008,2,1,23,43,La gestión de la compra pública de tecnologías de la información.
es_age_1166,2008,2,1,24,44,Sistemas CRM y ERPs.
es_age_1166,2008,2,1,25,45,Organizaciones internacionales y nacionales de normalización. Pruebas de conformidad y certificación. El establecimiento de servicios de pruebas de conformidad.
es_age_1166,2008,2,2,1,46,Sistemas de altas prestaciones. Grid Computing.
es_age_1166,2008,2,2,2,47,Equipos departamentales y estaciones gráficas de trabajo.
es_age_1166,2008,2,2,3,48,"Dispositivos personales de PC, Tablet PC, Pocket PC. La conectividad de los dispositivos personales."
es_age_1166,2008,2,2,4,49,Sistemas de almacenamiento para sistemas grandes y departamentales. Dispositivos para tratamiento de información multimedia.
es_age_1166,2008,2,2,5,50,"Tipos de sistemas de información multiusuario. Sistemas grandes, medios y pequeños. Servidores de datos y de aplicaciones."
es_age_1166,2008,2,2,6,51,El procesamiento cooperativo y la arquitectura cliente-servidor.
es_age_1166,2008,2,2,7,52,Arquitectura SOA.
es_age_1166,2008,2,2,8,53,"Concepto, evolución y tendencias de los sistemas operativos."
es_age_1166,2008,2,2,9,54,El sistema operativo UNIX-LINUX. Conceptos básicos.
es_age_1166,2008,2,2,10,55,"El Sistema Operativo UNIX-LINUX. Administración. Interfase gráfica-Gnome, KDE etc."
es_age_1166,2008,2,2,11,56,Los Sistemas Operativos y el soporte lógico de base I. Sistemas de altas prestaciones.
es_age_1166,2008,2,2,12,57,Los Sistemas Operativos y el soporte lógico de base II. Entorno Microsoft.
es_age_1166,2008,2,2,13,58,Los sistemas de gestión de bases de datos SGBD. El modelo de referencia de ANSI.
es_age_1166,2008,2,2,14,59,El modelo relacional. El lenguaje SQL. Normas y estándares para la interoperabilidad entre gestores de bases de datos relacionales.
es_age_1166,2008,2,2,15,60,Entorno de desarrollo Microsoft. NET para software con distribución.
es_age_1166,2008,2,2,16,61,Entorno de desarrollo JAVA para software con distribución.
es_age_1166,2008,2,2,17,62,Software de código abierto I. Software libre. Conceptos base.
es_age_1166,2008,2,2,18,63,Software de código abierto II. Software libre. Aplicaciones entorno ofimático y servidores Web.
es_age_1166,2008,2,2,19,64,"Inteligencia artificial: La orientación heurística, inteligencia artificial distribuida, agentes inteligentes."
es_age_1166,2008,2,2,20,65,Gestión del conocimiento: Representación del conocimiento. Sistemas expertos. Herramientas.
es_age_1166,2008,2,2,21,66,"E-learning: Conceptos, herramientas, sistemas de implantación y normalización."
es_age_1166,2008,2,2,22,67,Los sistemas de información geográfica. Conceptos y funcionalidad básicos.
es_age_1166,2008,2,2,23,68,Gestión de los datos corporativos. Almacén de datos (Data-Warehouse). Arquitectura OLAP. Minería de datos. Generación de Informes a la Dirección.
es_age_1166,2008,2,2,24,69,Lenguajes y herramientas para la utilización de redes globales. HTML y XML.
es_age_1166,2008,2,2,25,70,Comercio electrónico. Mecanismos de pago. Gestión del negocio.
es_age_1166,2008,2,2,26,71,"Workflow, Groupware y Data-Warehouse."
es_age_1166,2008,2,2,27,72,El cifrado. Algoritmos de cifrado simétricos y asimétricos. La función hash. El notariado.
es_age_1166,2008,2,2,28,73,Servicios de autenticación: El rol de los certificados digitales. Localización de claves públicas. Servicio de directorio X 500. Marco de autenticación X 509. Otros servicios.
es_age_1166,2008,2,2,29,74,Infraestructura de clave pública (PKI): Definición y elementos de una PKI. Prestación de servicios de certificación públicos y privados. Gestión del ciclo de vida de un certificado. Jerarquías de PSC. Protocolos de directorio basados en LDAP. Almacenamiento seguro de claves privadas: «Smart Cards». DNI electrónico.
es_age_1166,2008,2,2,30,75,"Directiva comunitaria 1999/93/CE de firma electrónica. Ley 59/2003, de 19 de diciembre, de firma electrónica. RD 209/2003, de 21 de febrero."
es_age_1166,2008,2,2,31,76,Directiva Comunitaria 2000/31/CE de la Sociedad de la Información y Comercio Electrónico. Ley 34/2002 de Servicios de la Sociedad de la Información y del Comercio Electrónico.
es_age_1166,2008,2,3,1,77,El ciclo de vida de los sistemas de información. Modelos del ciclo de vida.
es_age_1166,2008,2,3,2,78,Planificación estratégica de sistemas de información y de comunicaciones. El plan de sistemas de información.
es_age_1166,2008,2,3,3,79,El análisis de requisitos de los sistemas de información y de comunicaciones.
es_age_1166,2008,2,3,4,80,Metodología de desarrollo de sistemas. Orientación al proceso y orientación a los datos.
